Ticker,Entry Date,Exit Date,PnL
DVAX,2022-05-16,2022-05-21,1008206.0277315234
AVTR,2024-07-25,2024-07-30,988759.0255905188
PCG,2022-09-30,2022-10-05,944511.2030360718
MP,2022-07-26,2022-07-31,500745.81540498615
CTKB,2023-04-28,2023-05-03,484026.5491788006
LNTH,2022-10-11,2022-10-16,456168.4049770773
DUOL,2024-04-19,2024-04-24,452923.1611929666
AMR,2023-11-09,2023-11-14,434260.8944145516
ROIV,2024-03-28,2024-04-02,421078.93172250653
CR,2023-04-03,2023-04-08,407585.127587969
DOCN,2024-05-06,2024-05-11,404910.11223071686
CLFD,2022-08-09,2022-08-14,386573.25456406584
EYE,2022-06-15,2022-06-20,331492.6645762175
TRGP,2022-10-11,2022-10-16,330945.1035779723
CNM,2023-11-10,2023-11-15,327725.39795144356
PODD,2023-03-14,2023-03-19,305307.8216264782
SNDR,2024-07-30,2024-08-04,296797.3841897729
GRBK,2022-07-19,2022-07-24,296394.8983372236
SJW,2022-12-16,2022-12-21,287550.43786878453
FTDR,2022-07-05,2022-07-10,232389.5540362358
ERIE,2023-08-07,2023-08-12,226695.3776949948
LESL,2022-09-27,2022-10-02,216485.50415609698
CVI,2023-03-20,2023-03-25,212575.08015353268
SNCY,2022-07-01,2022-07-06,182463.25254071117
GTES,2024-07-19,2024-07-24,172667.7897751429
WPC,2023-11-29,2023-12-04,172075.46302191328
CWK,2022-12-16,2022-12-21,171362.542823641
VRRM,2023-02-28,2023-03-05,165635.8921552828
MCW,2022-09-30,2022-10-05,163761.39899821047
IRT,2022-05-18,2022-05-23,156980.82624205705
CG,2023-11-29,2023-12-04,155524.34581735404
NATL,2023-10-16,2023-10-21,146710.61239117768
NATL,2023-10-16,2023-10-21,146710.61239117768
ACGL,2022-10-31,2022-11-05,144694.88382664198
CXM,2024-03-01,2024-03-06,143837.08450557606
WLK,2022-10-17,2022-10-22,143355.30825217938
CRK,2023-02-03,2023-02-08,141138.3562653996
GSHD,2023-08-31,2023-09-05,136261.38060097053
UFPT,2023-06-16,2023-06-21,126875.57316120095
ARMK,2023-03-17,2023-03-22,110034.75579175675
RDN,2023-03-17,2023-03-22,109942.45470846673
IAC,2024-05-03,2024-05-08,102206.98928450467
STAG,2023-05-03,2023-05-08,100613.62711209389
USFD,2023-03-17,2023-03-22,97291.4375817683
BTU,2024-01-22,2024-01-27,95164.13176976427
PSTG,2024-01-04,2024-01-09,90614.9026025861
SHO,2022-07-20,2022-07-25,83510.6460841337
VAL,2023-03-17,2023-03-22,82780.61263219756
ORA,2022-07-06,2022-07-11,81663.4342692336
ABR,2023-06-22,2023-06-27,79229.94560331188
NOVT,2022-07-25,2022-07-30,77328.3171452854
CERT,2023-03-21,2023-03-26,76709.3744361091
DV,2023-01-30,2023-02-04,74014.89106529563
BWXT,2023-06-16,2023-06-21,58792.56104133293
APPS,2022-06-28,2022-07-03,58047.62930947787
POR,2022-06-28,2022-07-03,57633.64372184231
CHRD,2023-03-17,2023-03-22,40789.44980352114
ALV,2023-03-17,2023-03-22,39640.62597252101
OTTR,2023-02-22,2023-02-27,28438.036918378857
LRN,2022-07-01,2022-07-06,20129.8515213274
RYAN,2024-06-27,2024-07-02,17204.054166192876
EXPI,2023-06-13,2023-06-18,718.7520032023085
AR,2022-10-19,2022-10-24,-4451.723529054302
PAYO,2022-10-11,2022-10-16,-4452.217937053883
CRC,2023-06-16,2023-06-21,-9075.105341135313
AMH,2024-02-29,2024-03-05,-11290.214285254544
NOG,2023-02-01,2023-02-06,-11952.862659103186
AXTA,2023-03-17,2023-03-22,-16880.859430193967
ELS,2023-07-21,2023-07-26,-17063.969725131727
FYBR,2022-09-30,2022-10-05,-17455.735287791736
CELH,2022-08-09,2022-08-14,-24956.20818236364
MSGS,2023-07-31,2023-08-05,-26359.997841872122
CHK,2023-08-18,2023-08-23,-30164.75268216904
DBX,2023-06-16,2023-06-21,-39067.31343898303
DLB,2023-08-21,2023-08-26,-40414.491156800155
WMS,2023-03-17,2023-03-22,-46745.16428192139
ALGM,2022-12-16,2022-12-21,-48714.260740692975
NABL,2023-03-31,2023-04-05,-49228.00264457938
CWEN,2023-11-29,2023-12-04,-52014.1866151491
AAP,2023-08-24,2023-08-29,-57650.851354071216
AOSL,2022-05-18,2022-05-23,-61486.23928878314
AAON,2024-05-07,2024-05-12,-62140.975429681224
FSLR,2022-12-16,2022-12-21,-65890.64450974138
WCC,2023-06-16,2023-06-21,-70146.37283722342
PANW,2023-06-16,2023-06-21,-77608.56589158776
SRPT,2024-05-31,2024-06-05,-90917.91049430639
CCK,2023-06-16,2023-06-21,-96450.52082192617
BERY,2023-06-16,2023-06-21,-100635.37415237687
STWD,2023-03-17,2023-03-22,-106255.18733053417
CSGP,2022-09-16,2022-09-21,-110685.0738322527
JXN,2023-08-31,2023-09-05,-112581.08882161493
MBC,2022-12-16,2022-12-21,-120581.08201297394
NXST,2022-11-30,2022-12-05,-121773.44820509297
PTGX,2024-07-02,2024-07-07,-122395.8403488922
CUBE,2022-12-16,2022-12-21,-123270.8023049992
DOCS,2023-06-16,2023-06-21,-123790.54229219933
CNS,2024-04-22,2024-04-27,-123895.642723489
HGV,2023-03-17,2023-03-22,-126232.19790807646
SSB,2023-03-17,2023-03-22,-128782.24169928145
SMCI,2022-12-21,2022-12-26,-135968.5313192749
AUB,2023-03-17,2023-03-22,-136580.29257480413
LULU,2023-10-17,2023-10-22,-144690.76238976885
HTZ,2023-03-17,2023-03-22,-159635.27658399922
BG,2023-03-14,2023-03-19,-180167.29518329515
KVUE,2023-08-24,2023-08-29,-196438.5398972796
PECO,2023-06-16,2023-06-21,-206856.4806128907
AHCO,2022-08-03,2022-08-08,-222997.29765298712
PAG,2023-08-03,2023-08-08,-229653.04285354615
INVH,2022-09-16,2022-09-21,-233333.81958175843
H,2023-10-11,2023-10-16,-242030.46300740386
RUSHA,2023-12-29,2024-01-03,-249028.02558781765
BURL,2023-11-06,2023-11-11,-256074.65449865264
PLNT,2023-06-16,2023-06-21,-272637.7724921334
VTS,2023-01-13,2023-01-18,-291952.0071108047
CARG,2023-06-16,2023-06-21,-294670.79725124396
OVV,2023-06-16,2023-06-21,-294859.4134463757
APAM,2023-06-16,2023-06-21,-329872.96710623126
APPF,2024-03-28,2024-04-02,-334879.31365934294
MTSI,2022-08-16,2022-08-21,-368726.04593006347
MC,2023-06-16,2023-06-21,-388818.7113597374
NLY,2022-09-16,2022-09-21,-390480.59532144415
GEV,2024-04-01,2024-04-06,-396617.04175266845
ZI,2023-06-16,2023-06-21,-404449.97678194963
GPK,2023-06-16,2023-06-21,-421435.9121701468
HAYW,2023-09-28,2023-10-03,-436678.21966190555
KW,2023-03-17,2023-03-22,-458471.32447090046
FND,2023-10-19,2023-10-24,-480584.0625552729
MARA,2024-05-07,2024-05-12,-509678.5680442287
SDGR,2023-06-16,2023-06-21,-559765.9564399865
OUT,2022-09-16,2022-09-21,-568026.8632375086
DT,2022-09-16,2022-09-21,-601264.7441008646
VICI,2022-06-07,2022-06-12,-613445.0458471283
PRVA,2023-06-13,2023-06-18,-627476.8762420628
MBC,2022-12-14,2022-12-19,-835015.4210460585
CPRX,2022-09-14,2022-09-19,-938479.5467919054
EHAB,2022-06-30,2022-07-05,-966950.6348276049
SATS,2023-12-29,2024-01-03,-1016951.9117433731
XPER,2022-09-30,2022-10-05,-1458129.4401285702
RXO,2022-10-31,2022-11-05,-1761311.074595642
